question,claim,source_id,source_document,source_page,source_chunk,manual_label,manual_note
What technologies does Accenture name for organizing enterprise knowledge for AI systems?,Accenture names knowledge graphs and vector databases as technologies for organizing enterprise knowledge for AI systems.,S1,Technology Vision 2025,5,8,SUPPORTED,Directly supports knowledge graphs/vector databases.
Which qualities does Accenture say digital systems and AI models should ensure to build trust?,"Accenture says digital systems and AI models should ensure accuracy, predictability, consistency and traceability to build trust.",S1,Technology Vision 2025,2,5,SUPPORTED,Directly supports the four trust qualities.
Which qualities does Accenture say digital systems and AI models should ensure to build trust?,Accenture mentions that trust in AI is essential and that 77% of executives believe it will only be possible when built on a foundation of trust.,S2,Technology Vision 2025,2,4,SUPPORTED,Directly supports the 77% trust finding.
What are the main layers of Accenture's enterprise cognitive digital brain?,"The main layers of Accenture's enterprise cognitive digital brain include individuals, businesses, industries, and countries/governments.",S1,Technology Vision 2025,5,4,PARTIALLY_SUPPORTED,Supports levels of scale; wording does not establish these as the requested architecture layers.
What are the main layers of Accenture's enterprise cognitive digital brain?,"The main layers of Accenture's enterprise cognitive digital brain include individuals, businesses, industries, and countries/governments.",S2,Technology Vision 2025,5,5,PARTIALLY_SUPPORTED,Supports businesses/industries/countries within the levels-of-scale discussion.
What are the main layers of Accenture's enterprise cognitive digital brain?,"The main layers of Accenture's enterprise cognitive digital brain include individuals, businesses, industries, and countries/governments.",S3,Technology Vision 2025,5,2,UNSUPPORTED_BY_THIS_CHUNK,Cited chunk does not support the four-item levels-of-scale list.
What are the main layers of Accenture's enterprise cognitive digital brain?,"The main layers of Accenture's enterprise cognitive digital brain include individuals, businesses, industries, and countries/governments.",S4,Technology Vision 2025,8,4,UNSUPPORTED_BY_THIS_CHUNK,Cited chunk discusses physical manifestation rather than the four-item list.
What Responsible AI principles does Accenture describe?,"Accenture describes Responsible AI principles such as human by design, fairness, transparency, explainability and accuracy, safety, accountability, compliance, data privacy and cybersecurity, and sustainability.",S3,360 Value Report 2025,42,1,SUPPORTED,Directly lists the Responsible AI principles.
How many AI and data professionals did Accenture report at the end of fiscal 2025?,"Accenture reported approximately 77,000 skilled AI & Data professionals at the end of fiscal 2025.",S1,360 Value Report 2025,20,1,SUPPORTED,"Directly reports approximately 77,000 AI & Data professionals."
How many AI and data professionals did Accenture report at the end of fiscal 2025?,"Accenture reported approximately 77,000 skilled AI & Data professionals at the end of fiscal 2025.",S3,360 Value Report 2025,20,2,SUPPORTED,"Directly reports approximately 77,000 skilled professionals at fiscal-2025 year end."
How many people completed generative AI fundamentals training at Accenture?,"Over 550,000 people at Accenture have completed training on the fundamentals of generative AI.",S1,360 Value Report 2025,20,1,SUPPORTED,"Directly reports over 550,000 completed GenAI fundamentals training."
How many people completed generative AI fundamentals training at Accenture?,"Over 550,000 people at Accenture have completed training on the fundamentals of generative AI.",S2,360 Value Report 2025,7,4,SUPPORTED,"Directly reports over 550,000 people equipped with GenAI fundamentals."
How many people completed generative AI fundamentals training at Accenture?,"Over 550,000 people at Accenture have completed training on the fundamentals of generative AI.",S4,360 Value Report 2025,15,1,SUPPORTED,"Directly reports over 550,000 completed GenAI fundamentals training."
How does Accenture's board oversee sustainability?,"Accenture's Board oversees sustainability through committees like the Nominating, Governance & Sustainability Committee and the Compensation, Culture & People Committee.",S1,360 Value Report 2025,43,1,SUPPORTED,Directly names both committees and states Board delegation.
How does Accenture's board oversee sustainability?,The Board delegates sustainability oversight responsibility to committees based on their expertise.,S1,360 Value Report 2025,43,1,SUPPORTED,Directly states delegation based on committee expertise.
How does Accenture's board oversee sustainability?,"The Nominating, Governance & Sustainability Committee oversees overall sustainability performance, disclosure, strategies, goals and objectives, and monitors evolving sustainability risks and opportunities.",S1,360 Value Report 2025,43,1,SUPPORTED,"Directly states the Nominating, Governance & Sustainability Committee responsibilities."
How does Accenture's board oversee sustainability?,"The Compensation, Culture & People Committee oversees strategies related to sustainability initiatives, including non-financial goals.",S1,360 Value Report 2025,43,1,PARTIALLY_SUPPORTED,Chunk truncates before the added non-financial-goals detail.
How much did Accenture invest in learning and how many training hours were delivered?,Accenture invested $1 billion in learning and development during fiscal 2025.,S1,360 Value Report 2025,19,1,SUPPORTED,Directly states $1B invested in learning and development.
How much did Accenture invest in learning and how many training hours were delivered?,Accenture invested $1 billion in learning and development during fiscal 2025.,S3,360 Value Report 2025,60,3,SUPPORTED,Directly states $1B learning and development investment.
How much did Accenture invest in learning and how many training hours were delivered?,Approximately 47 million training hours were delivered during fiscal 2025.,S1,360 Value Report 2025,19,1,SUPPORTED,Directly states approximately 47M training hours.
How much did Accenture invest in learning and how many training hours were delivered?,Approximately 47 million training hours were delivered during fiscal 2025.,S3,360 Value Report 2025,60,3,SUPPORTED,Directly states approximately 47M training hours.
