question,claim,manual_label,manual_note
What technologies does Accenture name for organizing enterprise knowledge for AI systems?,Accenture names knowledge graphs and vector databases as technologies for organizing enterprise knowledge for AI systems.,SUPPORTED,Claim is directly supported by at least one cited passage.
Which qualities does Accenture say digital systems and AI models should ensure to build trust?,"Accenture says digital systems and AI models should ensure accuracy, predictability, consistency and traceability to build trust.",SUPPORTED,Claim is directly supported by at least one cited passage.
Which qualities does Accenture say digital systems and AI models should ensure to build trust?,Accenture mentions that trust in AI is essential and that 77% of executives believe it will only be possible when built on a foundation of trust.,SUPPORTED,Claim is directly supported by at least one cited passage.
What are the main layers of Accenture's enterprise cognitive digital brain?,"The main layers of Accenture's enterprise cognitive digital brain include individuals, businesses, industries, and countries/governments.",PARTIALLY_SUPPORTED,"The passages support these as levels of scale, but the answer is semantically misaligned with the question because the architecture layers are Knowledge, Models, Agents and Architecture."
What Responsible AI principles does Accenture describe?,"Accenture describes Responsible AI principles such as human by design, fairness, transparency, explainability and accuracy, safety, accountability, compliance, data privacy and cybersecurity, and sustainability.",SUPPORTED,Claim is directly supported by at least one cited passage.
How many AI and data professionals did Accenture report at the end of fiscal 2025?,"Accenture reported approximately 77,000 skilled AI & Data professionals at the end of fiscal 2025.",SUPPORTED,Claim is directly supported by at least one cited passage.
How many people completed generative AI fundamentals training at Accenture?,"Over 550,000 people at Accenture have completed training on the fundamentals of generative AI.",SUPPORTED,Claim is directly supported by at least one cited passage.
How does Accenture's board oversee sustainability?,"Accenture's Board oversees sustainability through committees like the Nominating, Governance & Sustainability Committee and the Compensation, Culture & People Committee.",SUPPORTED,The cited passage names both committees and states that the Board delegates sustainability oversight to committees based on expertise.
How does Accenture's board oversee sustainability?,The Board delegates sustainability oversight responsibility to committees based on their expertise.,SUPPORTED,Claim is directly supported by the cited passage.
How does Accenture's board oversee sustainability?,"The Nominating, Governance & Sustainability Committee oversees overall sustainability performance, disclosure, strategies, goals and objectives, and monitors evolving sustainability risks and opportunities.",SUPPORTED,Claim is directly supported by the cited passage.
How does Accenture's board oversee sustainability?,"The Compensation, Culture & People Committee oversees strategies related to sustainability initiatives, including non-financial goals.",PARTIALLY_SUPPORTED,The specific retrieved chunk truncates before the full claimed responsibility.
How much did Accenture invest in learning and how many training hours were delivered?,Accenture invested $1 billion in learning and development during fiscal 2025.,SUPPORTED,Claim is directly supported by cited passages.
How much did Accenture invest in learning and how many training hours were delivered?,Approximately 47 million training hours were delivered during fiscal 2025.,SUPPORTED,Claim is directly supported by cited passages.
